"t","napoved"
511,1600.27260382206
512,1600.47340194245
513,1600.67784835437
514,1600.88594305779
515,1601.09768605272
516,1601.31307733917
517,1601.53211691712
518,1601.75480478659
519,1601.98114094757
520,1602.21112540007
521,1602.44475814407
522,1602.68203917959
523,1602.92296850661
524,1603.16754612515
525,1603.4157720352
526,1603.66764623676
527,1603.92316872984
528,1604.18233951442
529,1604.44515859052
530,1604.71162595813
531,1604.98174161725
532,1605.25550556788
533,1605.53291781002
534,1605.81397834368
535,1606.09868716885
536,1606.38704428552
537,1606.67904969371
538,1606.97470339342
539,1607.27400538463
540,1607.57695566735
541,1607.88355424159
542,1608.19380110734
543,1608.5076962646
544,1608.82523971337
545,1609.14643145365
546,1609.47127148545
547,1609.79975980875
548,1610.13189642357
549,1610.4676813299
550,1610.80711452774
551,1611.1501960171
552,1611.49692579796
553,1611.84730387034
554,1612.20133023422
555,1612.55900488962
556,1612.92032783653
557,1613.28529907496
558,1613.65391860489
559,1614.02618642634
560,1614.40210253929
561,1614.78166694376
562,1615.16487963974
563,1615.55174062724
564,1615.94224990624
565,1616.33640747676
566,1616.73421333878
567,1617.13566749232
568,1617.54076993737
569,1617.94952067394
570,1618.36191970201
571,1618.7779670216
572,1619.19766263269
573,1619.6210065353
574,1620.04799872942
575,1620.47863921506
576,1620.9129279922
577,1621.35086506085
578,1621.79245042102
579,1622.2376840727
580,1622.68656601589
581,1623.13909625059
582,1623.59527477681
583,1624.05510159453
584,1624.51857670377
585,1624.98570010452
586,1625.45647179678
587,1625.93089178055
588,1626.40896005583
589,1626.89067662263
590,1627.37604148093
591,1627.86505463075
592,1628.35771607208
593,1628.85402580492
594,1629.35398382928
595,1629.85759014514
596,1630.36484475252
597,1630.87574765141
598,1631.39029884181
599,1631.90849832372
600,1632.43034609714
601,1632.95584216208
602,1633.48498651852
603,1634.01777916648
604,1634.55422010595
605,1635.09430933693
606,1635.63804685942
607,1636.18543267343
608,1636.73646677894
609,1637.29114917597
610,1637.84947986451
611,1638.41145884456
612,1638.97708611613
613,1639.5463616792
614,1640.11928553379
615,1640.69585767988
616,1641.27607811749
617,1641.85994684661
618,1642.44746386725
619,1643.03862917939
620,1643.63344278305
621,1644.23190467821
622,1644.83401486489
623,1645.43977334308
624,1646.04918011279
625,1646.662235174
626,1647.27893852672
627,1647.89929017096
628,1648.52329010671
629,1649.15093833397
630,1649.78223485274
631,1650.41717966303
632,1651.05577276482
633,1651.69801415813
634,1652.34390384295
635,1652.99344181928
636,1653.64662808712
637,1654.30346264647
638,1654.96394549734
639,1655.62807663972
640,1656.29585607361
641,1656.96728379901
642,1657.64235981592
643,1658.32108412434
644,1659.00345672428
645,1659.68947761572
646,1660.37914679868
647,1661.07246427315
648,1661.76943003913
649,1662.47004409663
650,1663.17430644563
651,1663.88221708615
652,1664.59377601818
653,1665.30898324171
654,1666.02783875677
655,1666.75034256333
656,1667.4764946614
657,1668.20629505099
658,1668.93974373209
659,1669.6768407047
660,1670.41758596882
661,1671.16197952445
662,1671.9100213716
663,1672.66171151025
664,1673.41704994042
665,1674.1760366621
666,1674.93867167529
667,1675.70495497999
668,1676.47488657621
669,1677.24846646393
670,1678.02569464317
671,1678.80657111392
672,1679.59109587618
673,1680.37926892995
674,1681.17109027524
675,1681.96655991203
676,1682.76567784034
677,1683.56844406016
678,1684.37485857149
679,1685.18492137433
680,1685.99863246869
681,1686.81599185455
682,1687.63699953193
683,1688.46165550082
684,1689.28995976122
685,1690.12191231313
686,1690.95751315656
687,1691.79676229149
688,1692.63965971794
689,1693.4862054359
690,1694.33639944537
691,1695.19024174635
692,1696.04773233884
693,1696.90887122285
694,1697.77365839836
695,1698.64209386539
696,1699.51417762393
697,1700.38990967399
698,1701.26929001555
699,1702.15231864862
700,1703.03899557321
701,1703.92932078931
702,1704.82329429692
703,1705.72091609604
704,1706.62218618667
705,1707.52710456882
706,1708.43567124247
707,1709.34788620764
708,1710.26374946432
709,1711.18326101251
710,1712.10642085222
711,1713.03322898343
712,1713.96368540616
713,1714.8977901204
714,1715.83554312615
715,1716.77694442341
716,1717.72199401218
717,1718.67069189246
718,1719.62303806426
719,1720.57903252757
720,1721.53867528239
721,1722.50196632872
722,1723.46890566656
723,1724.43949329592
724,1725.41372921678
725,1726.39161342916
726,1727.37314593305
727,1728.35832672845
728,1729.34715581536
729,1730.33963319379
730,1731.33575886372
731,1732.33553282517
732,1733.33895507813
733,1734.3460256226
734,1735.35674445858
735,1736.37111158608
736,1737.38912700508
737,1738.4107907156
738,1739.43610271763
739,1740.46506301117
740,1741.49767159622
741,1742.53392847278
742,1743.57383364086
743,1744.61738710045
744,1745.66458885154
745,1746.71543889415
746,1747.76993722828
747,1748.82808385391
748,1749.88987877106
749,1750.95532197971
750,1752.02441347988
751,1753.09715327156
752,1754.17354135475
753,1755.25357772946
754,1756.33726239567
755,1757.4245953534
756,1758.51557660264
757,1759.61020614339
758,1760.70848397565
759,1761.81041009942
760,1762.91598451471
761,1764.0252072215
762,1765.13807821981
763,1766.25459750963
764,1767.37476509096
765,1768.4985809638
766,1769.62604512816
767,1770.75715758403
768,1771.8919183314
769,1773.03032737029
770,1774.17238470069
771,1775.31809032261
772,1776.46744423603
773,1777.62044644097
774,1778.77709693742
775,1779.93739572538
776,1781.10134280485
777,1782.26893817583
778,1783.44018183832
779,1784.61507379233
780,1785.79361403785
781,1786.97580257488
782,1788.16163940342
783,1789.35112452347
784,1790.54425793503
785,1791.74103963811
786,1792.9414696327
787,1794.1455479188
788,1795.35327449641
789,1796.56464936553
790,1797.77967252616
791,1798.99834397831
792,1800.22066372197
793,1801.44663175713
794,1802.67624808381
795,1803.90951270201
796,1805.14642561171
797,1806.38698681293
798,1807.63119630565
799,1808.87905408989
800,1810.13056016564
801,1811.3857145329
802,1812.64451719168
803,1813.90696814196
804,1815.17306738376
805,1816.44281491707
806,1817.71621074189
807,1818.99325485822
808,1820.27394726606
809,1821.55828796542
810,1822.84627695629
811,1824.13791423866
812,1825.43319981255
813,1826.73213367796
814,1828.03471583487
815,1829.34094628329
816,1830.65082502323
817,1831.96435205468
818,1833.28152737764
819,1834.60235099211
820,1835.92682289809
821,1837.25494309559
822,1838.58671158459
823,1839.92212836511
824,1841.26119343714
825,1842.60390680068
826,1843.95026845573
827,1845.3002784023
828,1846.65393664038
829,1848.01124316996
830,1849.37219799106
831,1850.73680110367
832,1852.1050525078
833,1853.47695220343
834,1854.85250019058
835,1856.23169646923
836,1857.6145410394
837,1859.00103390108
838,1860.39117505428
839,1861.78496449898
840,1863.1824022352
841,1864.58348826292
842,1865.98822258216
843,1867.39660519291
844,1868.80863609518
845,1870.22431528895
846,1871.64364277424
847,1873.06661855103
848,1874.49324261934
849,1875.92351497916
850,1877.35743563049
851,1878.79500457334
852,1880.23622180769
853,1881.68108733356
854,1883.12960115094
855,1884.58176325983
856,1886.03757366023
857,1887.49703235214
858,1888.96013933557
859,1890.42689461051
860,1891.89729817696
861,1893.37135003492
862,1894.84905018439
863,1896.33039862537
864,1897.81539535787
865,1899.30404038187
866,1900.79633369739
867,1902.29227530442
868,1903.79186520296
869,1905.29510339302
870,1906.80198987458
871,1908.31252464766
872,1909.82670771224
873,1911.34453906834
874,1912.86601871596
875,1914.39114665508
876,1915.91992288571
877,1917.45234740786
878,1918.98842022152
879,1920.52814132669
880,1922.07151072337
881,1923.61852841156
882,1925.16919439127
883,1926.72350866248
884,1928.28147122521
885,1929.84308207945
886,1931.4083412252
887,1932.97724866246
888,1934.54980439124
889,1936.12600841152
890,1937.70586072332
891,1939.28936132663
892,1940.87651022145
893,1942.46730740778
894,1944.06175288563
895,1945.65984665498
896,1947.26158871585
897,1948.86697906823
898,1950.47601771212
899,1952.08870464752
900,1953.70503987444
901,1955.32502339286
902,1956.9486552028
903,1958.57593530425
904,1960.20686369721
905,1961.84144038168
906,1963.47966535766
907,1965.12153862516
908,1966.76706018417
909,1968.41623003469
910,1970.06904817672
911,1971.72551461026
912,1973.38562933531
913,1975.04939235188
914,1976.71680365995
915,1978.38786325954
916,1980.06257115064
917,1981.74092733325
918,1983.42293180738
919,1985.10858457301
920,1986.79788563016
921,1988.49083497882
922,1990.18743261899
923,1991.88767855067
924,1993.59157277386
925,1995.29911528857
926,1997.01030609478
927,1998.72514519251
928,2000.44363258175
929,2002.1657682625
930,2003.89155223477
931,2005.62098449854
932,2007.35406505383
933,2009.09079390062
934,2010.83117103893
935,2012.57519646876
936,2014.32287019009
937,2016.07419220293
938,2017.82916250729
939,2019.58778110316
940,2021.35004799054
941,2023.11596316943
942,2024.88552663983
943,2026.65873840174
944,2028.43559845517
945,2030.21610680011
946,2032.00026343656
947,2033.78806836452
948,2035.57952158399
949,2037.37462309497
950,2039.17337289747
951,2040.97577099148
952,2042.781817377
953,2044.59151205403
954,2046.40485502257
955,2048.22184628262
956,2050.04248583419
957,2051.86677367727
958,2053.69470981185
959,2055.52629423796
960,2057.36152695557
961,2059.20040796469
962,2061.04293726533
963,2062.88911485747
964,2064.73894074113
965,2066.5924149163
966,2068.44953738298
967,2070.31030814118
968,2072.17472719088
969,2074.0427945321
970,2075.91451016483
971,2077.78987408907
972,2079.66888630482
973,2081.55154681208
974,2083.43785561086
975,2085.32781270115
976,2087.22141808294
977,2089.11867175625
978,2091.01957372108
979,2092.92412397741
980,2094.83232252525
981,2096.74416936461
982,2098.65966449548
983,2100.57880791786
984,2102.50159963175
985,2104.42803963715
986,2106.35812793407
987,2108.29186452249
988,2110.22924940243
989,2112.17028257388
990,2114.11496403684
991,2116.06329379131
992,2118.0152718373
993,2119.9708981748
994,2121.9301728038
995,2123.89309572432
996,2125.85966693635
997,2127.8298864399
998,2129.80375423495
999,2131.78127032152
1000,2133.76243469959
1001,2135.74724736918
1002,2137.73570833028
1003,2139.7278175829
1004,2141.72357512702
1005,2143.72298096266
1006,2145.7260350898
1007,2147.73273750846
1008,2149.74308821863
1009,2151.75708722032
1010,2153.77473451351
1011,2155.79603009821
1012,2157.82097397443
1013,2159.84956614216
1014,2161.8818066014
1015,2163.91769535215
1016,2165.95723239442
1017,2168.00041772819
1018,2170.04725135348
1019,2172.09773327028
1020,2174.15186347859
1021,2176.20964197841
1022,2178.27106876974
1023,2180.33614385259
1024,2182.40486722695
1025,2184.47723889281
1026,2186.55325885019
1027,2188.63292709909
1028,2190.71624363949
1029,2192.80320847141
1030,2194.89382159483
1031,2196.98808300977
1032,2199.08599271622
1033,2201.18755071418
1034,2203.29275700365
1035,2205.40161158464
1036,2207.51411445714
1037,2209.63026562114
1038,2211.75006507666
1039,2213.87351282369
1040,2216.00060886224
1041,2218.13135319229
1042,2220.26574581386
1043,2222.40378672694
1044,2224.54547593153
1045,2226.69081342763
1046,2228.83979921524
1047,2230.99243329436
1048,2233.148715665
1049,2235.30864632715
1050,2237.47222528081
1051,2239.63945252598
1052,2241.81032806266
1053,2243.98485189086
1054,2246.16302401056
1055,2248.34484442178
1056,2250.53031312451
1057,2252.71943011875
1058,2254.9121954045
1059,2257.10860898177
1060,2259.30867085054
1061,2261.51238101083
1062,2263.71973946263
1063,2265.93074620594
1064,2268.14540124076
1065,2270.36370456709
1066,2272.58565618494
1067,2274.8112560943
1068,2277.04050429517
1069,2279.27340078755
1070,2281.50994557144
1071,2283.75013864684
1072,2285.99398001376
1073,2288.24146967219
1074,2290.49260762212
1075,2292.74739386357
1076,2295.00582839654
1077,2297.26791122101
1078,2299.533642337
1079,2301.80302174449
1080,2304.0760494435
1081,2306.35272543402
1082,2308.63304971605
1083,2310.9170222896
1084,2313.20464315465
1085,2315.49591231122
1086,2317.7908297593
1087,2320.08939549889
1088,2322.39160952999
1089,2324.6974718526
1090,2327.00698246673
1091,2329.32014137236
1092,2331.63694856951
1093,2333.95740405817
1094,2336.28150783834
1095,2338.60925991002
1096,2340.94066027322
1097,2343.27570892792
1098,2345.61440587414
1099,2347.95675111187
1100,2350.30274464111
1101,2352.65238646187
1102,2355.00567657413
1103,2357.36261497791
1104,2359.7232016732
1105,2362.08743665999
1106,2364.4553199383
1107,2366.82685150813
1108,2369.20203136946
1109,2371.58085952231
1110,2373.96333596667
1111,2376.34946070253
